,dataset,solver,scheduler,cacher_quantizer,SEC_PER_IMG,TFLOPS,bits_per_weight,FID,IS,CLIP,nfe
60,COCO,UNIPC,LINEAR,NONE,5.206086176820099,597.927290114451,,22.65839385986328,38.257362365722656,33.75794219970703,50
61,COCO,UNIPC,SNR,NONE,1.0490884343534708,119.673446181451,,20.34023666381836,37.533973693847656,33.43830490112305,10
62,COCO,UNIPC,SNR,NONE,13.219929788596929,597.927290114451,,22.007822036743164,39.31568145751953,33.758056640625,50
63,COCO,DPMS,AYS,NONE,13.322334393914788,597.927286902304,,22.16033935546875,38.47247314453125,33.7568359375,50
64,COCO,DPMS,KARRAS,NONE,13.170813235435634,597.927286902304,,21.863235473632812,39.080078125,33.76670455932617,50
65,COCO,DPMS,SNR,NONE,12.988459705524146,597.927286902304,,21.841510772705078,39.055145263671875,33.76172637939453,50
66,COCO,UNIPC,DDIM,NONE,13.465960326902568,597.927290114451,,21.84980583190918,38.279869079589844,33.73295974731445,50
67,COCO,DPMS,DDIM,NONE,12.93405641272664,597.927286902304,,21.660541534423828,38.64289474487305,33.7383918762207,50
68,COCO,DPMS,LINEAR,NONE,13.023587682805955,597.927286902304,,22.494110107421875,38.20550537109375,33.762149810791016,50
69,COCO,UNIPC,AYS,NONE,5.369072030624375,597.927290114451,,22.550106048583984,38.366371154785156,33.7649040222168,50
70,COCO,DDIM,SNR,NONE,5.037238748073578,597.92728690192,,21.10779571533203,39.506980895996094,33.756107330322266,50
71,COCO,DDIM,KARRAS,NONE,5.048710697256029,597.92728690192,,21.389339447021484,39.81609344482422,33.77056121826172,50
72,COCO,DDIM,DDIM,NONE,5.062218736298382,597.92728690192,,21.520299911499023,39.159568786621094,33.71434783935547,50
73,COCO,DDIM,LINEAR,NONE,5.049325442910194,597.92728690192,,21.948007583618164,38.50249481201172,33.750484466552734,50
74,COCO,UNIPC,KARRAS,NONE,5.1984097064007075,597.927290114451,,22.079771041870117,39.26055145263672,33.75925827026367,50
75,COCO,DDIM,AYS,NONE,5.039349441416562,597.92728690192,,21.613435745239258,39.036460876464844,33.757511138916016,50
76,COCO,DPMSORIG,SNR,NONE,5.075579018360004,597.927286902312,,21.179529190063477,38.81502151489258,33.79408264160156,50
77,COCO,DPMSORIG,SNR,NONE,6.560661395937204,299.018636083037,,20.69873809814453,39.10255813598633,33.77944564819336,25
78,COCO,DPMSORIG,DDIM,NONE,5.045773245850578,597.927286902312,,21.099143981933594,38.562767028808594,33.78853225708008,50
79,COCO,DPMSORIG,KARRAS,NONE,5.036755495034158,597.927286902312,,21.1551456451416,38.93433380126953,33.797794342041016,50
80,COCO,DPMSORIG,AYS,NONE,5.070333434343338,597.927286902312,,21.032629013061523,39.00193786621094,33.788360595703125,50
81,COCO,DPMSORIG,KARRAS,NONE,6.575115229673684,299.018636083037,,20.993701934814453,39.255157470703125,33.771060943603516,25
82,COCO,DPMSORIG,AYS,NONE,6.630008944557049,299.018636083037,,20.526840209960938,38.68901443481445,33.79503631591797,25
83,COCO,DPMSORIG,AYS,NONE,1.9123280445486308,83.804407493159,,20.43616485595703,36.533206939697266,33.24202346801758,7
84,COCO,DPMSORIG,LINEAR,NONE,1.8589740082621575,83.804407493159,,22.343849182128906,33.295021057128906,33.923336029052734,7
